drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
Cholestyramine,EVISTA,advise,Moderate,1,Cholestyramine: Cholestyramine causes a 60% reduction in the absorption and enterohepatic cycling of raloxifene and should not be coadministered with EVISTA.
phenytoin,ondansetron,mechanism,High,2,"Phenytoin, Carbamazepine, and Rifampicin: In patients treated with potent inducers of CYP3A4 (i.e., phenytoin, carbamazepine, and rifampicin), the clearance of ondansetron was significantly increased and ondansetron blood concentrations were decreased."
morphine,psychotropic drugs,effect,Moderate,1,"Use with Other Central Nervous System Depressants: The depressant effects of morphine are potentiated by the presence of other CNS depressants such as alcohol, sedatives, antihistaminics, or psychotropic drugs."
furosemide,MOBIC,advise,Moderate,1,"Nevertheless, during concomitant therapy with furosemide and MOBIC, patients should be observed closely for signs of declining renal function, as well as to assure diuretic efficacy."
paricalcitol,voriconazole,advise,Moderate,1,"A multiple dose drug-drug interaction study demonstrated that ketoconazole approximately doubled paricalcitol AUC0-   . Since paricalcitol is partially metabolized by CYP3A and ketoconazole le is known to be a strong inhibitor of cytochrome P450 3A enzyme, care should be taken while dosing paricalci"
mirtazapine,warfarin,effect,Moderate,2,"Warfarin users who initiated citalopram, fluoxetine, paroxetine, amitriptyline, or mirtazapine had an increased risk of hospitalization for gastrointestinal bleeding."
Methergine,ergot alkaloids,advise,Moderate,1,Caution should be exercised when Methergine    (methylergonovine maleate) is used concurrently with other vasoconstrictors or ergot alkaloids.
Mequitazine,MAOIs,int,Low,1,"Mequitazine can interact with CNS depressant, antichlolinergic, TCA, MAOIs, and alcohol."
sympathomimetic pressor amines,MAOI,effect,Moderate,2,MAO Inhibitors - The pressor effect of sympathomimetic pressor amines is markedly potentiated in patients receiving monoamine oxidase inhibitors (MAOI).
Ticlopidine,ketamine,mechanism,High,1,"Ticlopidine treatment increased the mean area under the plasma concentration-time curve extrapolated to infinity (AUC(0-   )) of oral ketamine by 2.4-fold, whereas itraconazole treatment did not increase the exposure to S-ketamine."
Thiamine,Stavudine,int,Low,1,"Interactions for Vitamin B1 (Thiamine):  Loop Diuretics, Oral Contraceptives, Stavudine, Tricyclic Antidepressants"
paricalcitol,atazanavir,advise,Moderate,1,"A multiple dose drug-drug interaction study demonstrated that ketoconazole approximately doubled paricalcitol AUC0-   . Since paricalcitol is partially metabolized by CYP3A and ketoconazole le is known to be a strong inhibitor of cytochrome P450 3A enzyme, care should be taken while dosing paricalci"
alcohol,REMERON SolTab,advise,Moderate,1,"Accordingly, patients should be advised to avoid alcohol while taking REMERON SolTab. Diazepam: Concomitant administration of diazepam (15 mg) had a minimal effect on plasma levels of mirtazapine (15 mg) in 12 healthy subjects."
Ritalin,guanethidine,effect,Moderate,1,Ritalin may decrease the hypotensive effect of guanethidine.
Methscopolamine,furazolidone,int,Low,1,"Methscopolamine may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids,"
Hyaluronidase,procaine hydrochloride,mechanism,High,1,"Hyaluronidase: Hyaluronidase may increase the diffusion rate of procaine hydrochloride, resulting in a decreased time of onset, but an increase in systemic toxicity."
NSAIDs,ALIMTA,advise,Moderate,2,"Patients with mild to moderate renal insufficiency should avoid taking NSAIDs with short elimination half-lives for a period of 2 days before, the day of, and 2 days following administration of ALIMTA."
Melatonin,fluvoxamine,int,Low,1,"Melatonin may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), p"
MIVACRON,glucocorticoids,effect,Moderate,1,"The neuromuscular blocking effect of MIVACRON may be enhanced by drugs that reduce plasma cholinesterase activity (e.g., chronically administered oral contraceptives, glucocorticoids, or certain monoamine oxidase inhibitors) or by drugs that irreversibly inhibit plasma cholinesterase . Resistance to"
opioids,pegvisomant,mechanism,High,1,"In clinical studies, patients on opioids often needed higher serum pegvisomant concentrations to achieve appropriate IGF-I suppression compared with patients not receiving opioids."
PURINETHOL,Thioguanine,effect,Moderate,1,There is usually complete cross-resistance between PURINETHOL (mercaptopurine) and TABLOID brand Thioguanine.
levothyroxine,simeticone,int,Low,1,The authors report the case of an infant with confirmed congenital hypothyroidism on levothyroxine who experienced a possible drug interaction with simeticone.
antacid,ranitidine,mechanism,High,1,Coadministration with a high dose of antacid (170 mEq) results in a 28% decrease in plasma concentrations of ranitidine and may decrease plasma concentrations of bismuth from TRITEC.
SYMLIN,human insulin,mechanism,High,1,"Mixing SYMLIN and Insulin The pharmacokinetic parameters of SYMLIN were altered when mixed with regular, NPH, and 70/30 premixed formulations of recombinant human insulin immediately prior to injection."
morphine,sedatives,effect,Moderate,1,"Use with Other Central Nervous System Depressants: The depressant effects of morphine are potentiated by the presence of other CNS depressants such as alcohol, sedatives, antihistaminics, or psychotropic drugs."
Anabolic steroids,anticoagulants,effect,Moderate,1,Anticoagulants Anabolic steroids may increase sensitivity to oral anticoagulants.
Probenecid,meropenem,advise,Moderate,2,"Therefore, the coadministration of probenecid with meropenem is not recommended."
miconazole,terfenadine,advise,Moderate,1,"Due to the chemical similarity of other azole-type antifungal agents (including fluconazole, metronidazole, and miconazole) to ketoconazole, and itraconazole, concomitant use of these products with terfenadine is not recommended pending full examination of potential interactions."
Scopolamine,alcohol,advise,Moderate,1,"Scopolamine should be used with care in patients taking other drugs that are capable of causing CNS effects such as sedatives, tranquilizers, or alcohol."
SUTENT,clarithromycin,mechanism,High,1,"Co-administration of SUTENT with strong inhibitors of the CYP3A4 family (e.g., ketoconazole, itraconazole, clarithromycin, atazanavir, indinavir, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, voriconizole) may increases sunitinib concentrations."
Moxifloxacin,erythromycin,mechanism,High,1,Moxifloxacin and Lomefloxacin reacts faster with sucralfate and gelusil in acidic media whereas with erythromycin in basic media and multi-minerals in neutral media.
SYMLIN,atropine,advise,Moderate,1,"Due to its effects on gastric emptying, SYMLIN therapy should not be considered for patients taking drugs that alter gastrointestinal motility (e.g., anticholinergic agents such as atropine) and agents that slow the intestinal absorption of nutrients (e.g., alpha glucosidase inhibitors)."
metronidazole,terfenadine,advise,Moderate,1,"Due to the chemical similarity of other azole-type antifungal agents (including fluconazole, metronidazole, and miconazole) to ketoconazole, and itraconazole, concomitant use of these products with terfenadine is not recommended pending full examination of potential interactions."
TOBI,corticosteroids,effect,Moderate,1,"In clinical studies of TOBI, patients taking TOBI concomitantly with dornase alfa (PULMOZYME   , Genentech), (beta)-agonists, inhaled corticosteroids, other anti-pseudomonal antibiotics, or parenteral aminoglycosides demonstrated adverse experience profiles similar to the study population as a whole"
Mitotane,warfarin,mechanism,High,1,"Mitotane has been reported to accelerate the metabolism of warfarin by the mechanism of hepatic microsomal enzyme induction, leading to an increase in dosage requirements for warfarin."
mazindol,Parnate,advise,Moderate,1,"You cannot take mazindol if you have taken a monoamine oxidase inhibitor (MAOI) such as isocarboxazid (Marplan), tranylcypromine (Parnate), or phenelzine (Nardil) in the last 14 days."
TRENTAL,platelet aggregation inhibitors,effect,Moderate,1,"Although a causal relationship has not been established, there have been reports of bleeding and/or prolonged prothrombin time in patients treated with TRENTAL with and without anticoagulants or platelet aggregation inhibitors."
doxazosin,ProAmatine,effect,Moderate,1,"ProAmatine. Alpha-adrenergic blocking agents, such as prazosin, terazosin, and doxazosin, can antagonize the effects of ProAmatine. Potential for Drug Interactions: It appears possible, although there is no supporting experimental evidence, that the high renal clearance of desglymidodrine (a base) i"
SUTENT,itraconazole,mechanism,High,1,"Co-administration of SUTENT with strong inhibitors of the CYP3A4 family (e.g., ketoconazole, itraconazole, clarithromycin, atazanavir, indinavir, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, voriconizole) may increases sunitinib concentrations."
dihydroergotamine,ProAmatine,effect,Moderate,1,"The use of drugs that stimulate alpha-adrenergic receptors (e.g., phenylephrine, pseudoephedrine, ephedrine, phenylpropanolamine or dihydroergotamine) may enhance or potentiate the pressor effects of ProAmatine   . Therefore, caution should be used when ProAmatine    is administered concomitantly wi"
Isopto Carbachol,suprofen,effect,Moderate,1,"Other eye drops or medications such as acetylcholine chloride (Miochol) and carbachol (Carboptic, Isopto Carbachol) may decrease the effects of suprofen ophthalmic."
Vitamin B1,Tricyclic Antidepressants,int,Low,1,"Interactions for Vitamin B1 (Thiamine):  Loop Diuretics, Oral Contraceptives, Stavudine, Tricyclic Antidepressants"
Mephenytoin,warfarin,effect,Moderate,1,"Mephenytoin may also affect the effects of other drugs, which include some steroid medications, warfarin, certain heart medicines, birth control pills, anti-infective medicines, furosemide and theophylline Please note that Mephenytoin may interact with other drugs that are not listed here."
heparin,TNKase,effect,Moderate,1,"Anticoagulants (such as heparin and vitamin K antagonists) and drugs that alter platelet function (such as acetylsalicylic acid, dipyridamole, and GP IIb/IIIa inhibitors) may increase the risk of bleeding if administered prior to, during, or after TNKase therapy."
digitalis,sympathomimetic amines,effect,Moderate,1,"ARAMINE should be used with caution in digitalized patients, since the combination of digitalis and sympathomimetic amines may cause ectopic arrhythmias."
midazolam,protease inhibitors,advise,Moderate,1,"Drug Interactions: Inhibitors of CYP3A4 Isozymes: Caution is advised when midazolam is administered concomitantly with drugs that are known to inhibit the cytochrome P450 3A4 enzyme system (ie, some drugs in the drug classes of azole antimycotics, protease inhibitors, calcium channel antagonists, an"
ABT-737,DZNep,effect,Moderate,2,"We also found that Bcl-2 was overexpressed in DZNep insensitive cells, and cotreatment with DZNep and ABT-737, a Bcl-2 family inhibitor, synergistically inhibited growth and induced apoptosis of DZNep insensitive MM cells."
Cholestyramine,raloxifene,mechanism,High,1,Cholestyramine: Cholestyramine causes a 60% reduction in the absorption and enterohepatic cycling of raloxifene and should not be coadministered with EVISTA.
mexiletine,fluvoxamine,mechanism,High,1,"In a formal, single-dose interaction study (n = 6 males) the clearance of mexiletine was decreased by 38% following the coadministration of fluvoxamine, an inhibitor of CYP1A2."
AAV2,chondroitin ABC lyase,effect,Moderate,1,AAV2-mediated retinal transduction is improved by co-injection of heparinase III or chondroitin ABC lyase.
fluconazole,astemizole,mechanism,High,1,Astemizole: The use of fluconazole in patients concurrently taking astemizole or other drugs metabolized by the cytochrome P450 system may be associated with elevations in serum levels of these drugs.
midazolam,macrolide antibiotics,advise,Moderate,1,"Drug Interactions: Inhibitors of CYP3A4 Isozymes: Caution is advised when midazolam is administered concomitantly with drugs that are known to inhibit the cytochrome P450 3A4 enzyme system (ie, some drugs in the drug classes of azole antimycotics, protease inhibitors, calcium channel antagonists, an"
mercaptopurine,TABLOID,effect,Moderate,1,There is usually complete cross-resistance between PURINETHOL (mercaptopurine) and TABLOID brand Thioguanine.
Mitotane,coumarin-type anticoagulants,advise,Moderate,1,"Therefore, physicians should closely monitor patients for a change in anticoagulant dosage requirements when administering Mitotane to patients on coumarin-type anticoagulants."
phenytoin,Mexitil,mechanism,High,1,"When phenytoin or other hepatic enzyme inducers such as rifampin and phenobarbital have been taken concurrently with Mexitil   , lowered Mexitil    plasma levels have been reported."
PURINETHOL,TABLOID,effect,Moderate,1,There is usually complete cross-resistance between PURINETHOL (mercaptopurine) and TABLOID brand Thioguanine.
anticholinergic drugs,sympathomimetic agents,effect,Moderate,1,"The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates a"
Sulfoxone,tolbutamide,effect,Moderate,1,"Sulfoxone may increase the effects of barbiturates, tolbutamide, and uricosurics."
AAV2,heparinase III,effect,Moderate,1,AAV2-mediated retinal transduction is improved by co-injection of heparinase III or chondroitin ABC lyase.
anticholinergic drugs,antipsychotic agents,effect,Moderate,1,"The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates a"
VERSED Syrup,morphine,effect,Moderate,1,"The sedative effect of VERSED Syrup is accentuated by any concomitantly administered medication which depresses the central nervous system, particularly narcotics (eg, morphine, meperidine and fentanyl), propofol, ketamine, nitrous oxide, secobarbital and droperidol."
tetracycline,penicillins,effect,Moderate,1,"Concurrent administration of bacteriostatic antibiotics (e.g., erythromycin, tetracycline) may diminish the bactericidal effects of penicillins by slowing the rate of bacterial growth."
Myfortic,antacids,advise,Moderate,1,It is recommended that Myfortic and antacids not be administered simultaneously.
Streptokinase,antiplatelet agents,effect,Moderate,1,"Use of Anticoagulants and Antiplatelet Agents -- Streptase, Streptokinase, alone or in combination with antiplatelet agents and anticoagulants, may cause bleeding complications."
chlorpropamide,pramipexole,mechanism,High,1,"Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of pramipe"
caffeine,Mexitil,mechanism,High,1,"Additionally, in one controlled study in five normal subjects and seven patients, the clearance of caffeine was decreased 50% following the administration of Mexitil   ."
Sanctura,vancomycin,mechanism,High,1,"Drugs Eliminated by Active Tubular Secretion: Although studies to assess drug-drug interactions with Sanctura have not been conducted, Sanctura has the potential for pharmacokinetic interactions with other drugs that are eliminated by active tubular secretion (e.g. digoxin, procainamide, pancuronium"
MEPERIDINE,CNS DEPRESSANTS,advise,Moderate,1,"Interaction with Other Central Nervous System Depressants: MEPERIDINE SHOULD BE USED WITH GREAT CAUTION AND IN REDUCED DOSAGE IN PATIENTS WHO ARE CONCURRENTLY RECEIVING OTHER NARCOTIC ANALGESICS, GENERAL ANESTHETICS, PHENOTHIAZINES, OTHER TRANQUILIZERS, SEDATIVE-HYPNOTICS (INCLUDING BARBITURATES), T"
Mequitazine,alcohol,int,Low,1,"Mequitazine can interact with CNS depressant, antichlolinergic, TCA, MAOIs, and alcohol."
ketoconazole,mometasone furoate,mechanism,High,1,"However, ketoconazole, a potent inhibitor of cytochrome P450 3A4, may increase plasma levels of mometasone furoate during concomitant dosing."
metoclopramide,narcotics,effect,Moderate,1,"Additive sedative effects can occur when metoclopramide is given with alcohol, sedatives, hypnotics, narcotics, or tranquilizers."
levomepromazine,barbiturates,effect,Moderate,1,Additive sedative effects and confusional states may emerge if levomepromazine is given with benzodiazepines or barbiturates.
metoclopramide,monoamine oxi-dase inhibitors,advise,Moderate,1,"The finding that metoclopramide releases catecholamines in patients with essential hypertension suggests that it should be used cautiously, if at all, in patients receiving monoamine oxi-dase inhibitors."
aspirin,methazolamide,advise,Moderate,1,"Caution is advised for patients receiving high-dose aspirin and methazolamide concomitantly, as anorexia, tachypnea, lethargy, coma and death have been reported with concomitant use of high-dose aspirin and carbonic anhydrase inhibitors."
gemfibrozil,rosiglitazone,mechanism,High,1,An inhibitor of CYP2C8 (such as gemfibrozil) may increase the AUC of rosiglitazone and an inducer of CYP2C8 (such as rifampin) may decrease the AUC of rosiglitazone.
clarithromycin,DETROL LA,advise,Moderate,1,"For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, itraconazole, miconazole) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or vinblastine, the recommended dose of DETROL LA is 2 mg daily."
nondepolarizing agents,sodium colistimethate,int,Low,1,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as MIVACRON include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthe"
MIVACRON,sodium colistimethate,int,Low,1,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as MIVACRON include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthe"
warfarin,FLOMAX,advise,Moderate,1,"Therefore, caution should be exercised with concomitant administration of warfarin and FLOMAX capsules."
terfenadine,azithromycin,advise,Moderate,1,"Concomitant administration of terfenadine with clarithromycin, erythromycin, or troleandomycin is contraindicated: Pending full characterization of potential interactions, concomitant administration of terfenadine with other macrolide antibiotics, including azithromycin, is not recommended."
alcohol,pentazocine,advise,Moderate,1,"Usage with Alcohol: Due to the potential for increased CNS depressants effects, alcohol should be used with caution in patients who are currently receiving pentazocine."
Myfortic,activated charcoal,advise,Moderate,1,"Therefore, do not administer Myfortic with cholestyramine or other agents that may interfere with enterohepatic recirculation or drugs that may bind bile acids, for example bile acid sequestrates or oral activated charcoal, because of the potential to reduce the efficacy of Myfortic."
buprenorphine,opioid agonist analgesic,advise,Moderate,1,"Interaction with Mixed Agonist/Antagonist Opioid Analgesics: Agonist/antagonist analgesics (i.e., pentazocine, nalbuphine, butorphanol, or buprenorphine) should NOT be administered to patients who have received or are receiving a course of therapy with a proof opioid agonist analgesic."
insulin,mazindol,advise,Moderate,1,Changes in insulin and other diabetes drug therapies may be necessary during treatment with mazindol.
acetylsalicylic acid,TNKase,effect,Moderate,1,"Anticoagulants (such as heparin and vitamin K antagonists) and drugs that alter platelet function (such as acetylsalicylic acid, dipyridamole, and GP IIb/IIIa inhibitors) may increase the risk of bleeding if administered prior to, during, or after TNKase therapy."
neuroleptics,MIRAPEX,effect,Moderate,1,"Dopamine antagonists: Since pramipexole is a dopamine agonist, it is possible that dopamine antagonists, such as the neuroleptics (phenothiazines, butyrophenones, thioxanthenes) or metoclopramide, may diminish the effectiveness of MIRAPEX."
oxybutynin,anticholinergic drugs,effect,Moderate,1,"The concomitant use of oxybutynin with other anticholinergic drugs or with other agents which produce dry mouth, constipation, somnolence (drowsiness), and/or other anticholinergic-like effects may increase the frequency and/or severity of such effects."
REMERON,alcohol,effect,Moderate,1,"However, the impairment of cognitive and motor skills produced by REMERON    were shown to be additive with those produced by alcohol."
FELDENE,aspirin,mechanism,High,1,"Plasma levels of piroxicam are depressed to approximately 80% of their normal values when FELDENE is administered in conjunction with aspirin (3900 mg/day), but concomitant administration of antacids has no effect on piroxicam plasma levels . Nonsteroidal anti-inflammatory agents, including FELDENE,"
selegiline,meperidine,effect,Moderate,1,"The occurrence of stupor, muscular rigidity, severe agitation, and elevated temperature has been reported in some patients receiving the combination of selegiline and meperidine."
pimozide,macrolide antibacterials,mechanism,High,1,"- Cisapride, pimozide: Other drugs such as cisapride or pimozide, which are metabolised by hepatic CYP3A isozymes have been associated with QT interval prolongation and/or cardiac arrythmias (typically torsades de pointe) as a result of increase in their serum level subsequent to interaction with si"
Sulfamethizole,uricosurics,effect,Moderate,1,"Sulfamethizole may increase the effects of barbiturates, tolbutamide, and uricosurics."
Posicor,astemizole,mechanism,High,1,"Posicor inhibits some of the liver's ability to metabolize some other drugs - terfenadine, astemizole, cisapride, cyclosporine, and tricyclic antidepressants."
Non-Steroidal Anti-Inflammatory Drugs,MYKROX,effect,Moderate,1,Salicylates and Other Non-Steroidal Anti-Inflammatory Drugs: May decrease the antihypertensive effects of MYKROX Tablets.
quinidine,pramipexole,mechanism,High,1,"Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of pramipe"
itraconazole,oxybutynin,mechanism,High,1,"Other inhibitors of the cytochrome P450 3A4 enzyme system, such as antimycotic agents (e.g., itraconazole and miconazole) or macrolide antibiotics (e.g., erythromycin and clarithromycin), may alter oxybutynin mean pharmacokinetic parameters (i.e., Cmax and AUC)."
Diuretic,tubocurarine,effect,Moderate,1,Curariform Drugs: Diuretic-induced hypokalemia may enhance neuromuscular blocking effects of curariform drugs (such as tubocurarine) the most serious effect would be respiratory depression which could proceed to apnea.
Melatonin,benzodiazepenes,int,Low,1,"Melatonin may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), beta blockers (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), p"
ketoconazole,mifepristone,mechanism,High,1,"Although specific drug or food interactions with mifepristone have not been studied, on the basis of this drug   s metabolism by CYP 3A4, it is possible that ketoconazole, itraconazole, erythromycin, and grapefruit juice may inhibit its metabolism (increasing serum levels of mifepristone)."
fat-soluble vitamins,cholestyramine,mechanism,High,1,"Drugs that impair intestinal absorption of fat-soluble vitamins, such as cholestyramine, may interfere with the absorption of Zemplar Capsules."
dobutamine,sodium bicarbonate,int,Low,1,norepinephrine and dobutamine are incompatible with sodium bicarbonate solution.
methsuximide,phenobarbital,mechanism,High,1,"Since Celontin (methsuximide) may interact with concurrently administered antiepileptic drugs, periodic serum level determinations of these drugs may be necessary (eg methsuximide may increase the plasma concentrations of phenytoin and phenobarbital)."
anticholinergic drugs,tricyclic antidepressants,effect,Moderate,1,"The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates a"
succinylcholine,MIVACRON,advise,Moderate,1,Evidence of spontaneous recovery from succinylcholine should be observed before the administration of MIVACRON.
selegiline,sympathomimetic medication,effect,Moderate,1,One case of hypertensive crisis has been reported in a patient taking the recommended doses of selegiline and a sympathomimetic medication (ephedrine).
Phenothiazines,barbiturates,effect,Moderate,1,"Phenothiazines are capable of potentiating CNS depressants (e.g., barbiturates, anesthetics, opiates, alcohol, etc.)"
Salicylate,sulfinpyrazone,mechanism,High,1,"Salicylate competes with a number of drugs for protein binding sites, notably penicillin, thiopental, thyroxine, triiodothyronine, phenytoin, sulfinpyrazone, naproxen, warfarin, methotrexate, and possibly corticosteroids."
sulfamethizole,teniposide,mechanism,High,1,"In a study in which 34 different drugs were tested, therapeutically relevant concentrations of tolbutamide, sodium salicylate and sulfamethizole displaced protein-bound teniposide in fresh human serum to a small but significant extent."
methotrexate,teniposide,mechanism,High,1,An increase in intracellular levels of methotrexate was observed in vitro in the presence of teniposide.
anticholinergic drugs,nitrates,effect,Moderate,1,"The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates a"
carbamazepine,MIVACRON,effect,Moderate,1,"While the effects of chronic phenytoin or carbamazepine therapy on the action of MIVACRON are unknown, slightly shorter durations of neuromuscular block may be anticipated and infusion rate requirements may be higher."
Methscopolamine,quinidine,int,Low,1,"Methscopolamine may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids,"
hemantane,doxycycline,effect,Moderate,1,"Acute administration of hemantane or doxycycline failed to influence locomotion in mice, while their combination normalized motor activity."
MIVACRON,clindamycin,int,Low,1,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as MIVACRON include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthe"
VESIcare,ketoconazole,advise,Moderate,1,Do not exceed a 5 mg daily dose of VESIcare when administered with therapeutic doses of ketoconazole or other potent CYP3A4 inhibitors.
methyldopa,ferrous sulfate,mechanism,High,2,Several studies demonstrate a decrease in the bioavailability of methyldopa when it is ingested with ferrous sulfate or ferrous gluconate.
minoxidil,guanethidine,advise,Moderate,2,If at all possible guanethidine should be discontinued well before minoxidil is begun.
Vitamin B1,Loop Diuretics,int,Low,1,"Interactions for Vitamin B1 (Thiamine):  Loop Diuretics, Oral Contraceptives, Stavudine, Tricyclic Antidepressants"
Methscopolamine,linezolid,int,Low,1,"Methscopolamine may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids,"
GH,sex steroids,mechanism,High,1,"These data suggest that GH administration may alter the clearance of compounds known to be metabolized by CP450 liver enzymes (e.g., corticosteroids, sex steroids, anticonvulsants, cyclosporin)."
miconazole,DETROL LA,advise,Moderate,1,"For patients receiving ketoconazole or other potent CYP3A4 inhibitors such as other azole antifungals (eg, itraconazole, miconazole) or macrolide antibiotics (eg, erythromycin, clarithromycin) or cyclosporine or vinblastine, the recommended dose of DETROL LA is 2 mg daily."
Leukine,corticosteroids,effect,Moderate,1,"Drugs which may potentiate the myeloproliferative effects of Leukine, such as lithium and corticosteroids, should be used with caution."
SYMLIN,alpha glucosidase inhibitors,advise,Moderate,1,"Due to its effects on gastric emptying, SYMLIN therapy should not be considered for patients taking drugs that alter gastrointestinal motility (e.g., anticholinergic agents such as atropine) and agents that slow the intestinal absorption of nutrients (e.g., alpha glucosidase inhibitors)."
Posicor,cisapride,mechanism,High,1,"Posicor inhibits some of the liver's ability to metabolize some other drugs - terfenadine, astemizole, cisapride, cyclosporine, and tricyclic antidepressants."
phenylephrine,ProAmatine,effect,Moderate,1,"The use of drugs that stimulate alpha-adrenergic receptors (e.g., phenylephrine, pseudoephedrine, ephedrine, phenylpropanolamine or dihydroergotamine) may enhance or potentiate the pressor effects of ProAmatine   . Therefore, caution should be used when ProAmatine    is administered concomitantly wi"
antibiotics,ganglion blockers,advise,Moderate,1,Patients receiving antibiotics and sulfonamides generally should not be treated with ganglion blockers.
Salicylate,methotrexate,mechanism,High,1,"Salicylate competes with a number of drugs for protein binding sites, notably penicillin, thiopental, thyroxine, triiodothyronine, phenytoin, sulfinpyrazone, naproxen, warfarin, methotrexate, and possibly corticosteroids."
SPIRIVA,anticholinergic,advise,Moderate,1,"However, the co   administration of SPIRIVA with other anticholinergic   containing drugs (e.g., ipratropium) has not been studied and is therefore not recommended."
MIVACRON,colistin,int,Low,1,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as MIVACRON include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthe"
ranitidine,pramipexole,mechanism,High,1,"Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, verapamil, quinidine, and quinine) decreases the oral clearance of pramipe"
anticholinergic drugs,amantadine,effect,Moderate,1,"The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, antiarrhythmic agents of class I (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, narcotic analgesics (e.g., meperidine), nitrates a"
Metopirone,phenytoin,mechanism,High,1,The metabolism of Metopirone is accelerated by phenytoin;
ticagrelor,aspirin,effect,Moderate,1,"The FDA has approved ticagrelor (Brilinta-AstraZeneca), an oral antiplatelet drug, for use with low-dose aspirin to reduce the rate of thrombotic cardiovascular events in patients with acute coronary syndrome (ACS)."
Thiamine,Loop Diuretics,int,Low,1,"Interactions for Vitamin B1 (Thiamine):  Loop Diuretics, Oral Contraceptives, Stavudine, Tricyclic Antidepressants"
DEMSER,alcohol,effect,Moderate,1,Concurrent use of DEMSER with alcohol or other CNS depressants can increase their sedative effects.
acetylcholine chloride,suprofen,effect,Moderate,1,"Other eye drops or medications such as acetylcholine chloride (Miochol) and carbachol (Carboptic, Isopto Carbachol) may decrease the effects of suprofen ophthalmic."
